repository_normalized,url,source_count,source_catalogues,status
lmvdz/rpg-jev,https://github.com/lmvdz/rpg-jev,4,"[""JohnDotOwl/awesome-jev"", ""RadRebelSam/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
logan-markewich/jeff,https://github.com/logan-markewich/jeff,23,"[""AbdelStark/awesome-typesafe-jev"", ""BeatAPI/awesome-jev"", ""Gerry9000/awesome-jev"", ""KennethAshley/awesome-jev"", ""KuzanJ/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""ham-zax/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""jqueryscript/awesome-jev"", ""mabodx/awesome-jev"", ""notsointresting/awesome-jev-family"", ""punk2898/awesome-jev-verified"", ""rudy2steiner/awesome-jev-hub"", ""stainlu/awesome-jev"", ""tanxarx/awesome-jev"", ""valentynkit/awesome-jev-typesafe"", ""walidboulanouar/awesome-jev-use-cases"", ""wh000wh000/awesome-jev-live"", ""yibie/awesome-jev"", ""yzfly/awesome-jev-zh""]",unverified_outgoing_link_candidate
logicrw/ask-jev,https://github.com/logicrw/ask-jev,7,"[""daftAI2026/awesome-jev"", ""ham-zax/awesome-jev"", ""logicrw/awesome-jev-projects"", ""mabodx/awesome-jev"", ""notsointresting/awesome-jev-family"", ""stainlu/awesome-jev"", ""yibie/awesome-jev""]",unverified_outgoing_link_candidate
loicrg/jev-spam-lab,https://github.com/loicrg/jev-spam-lab,1,"[""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
loktar00/llm-lan-party,https://github.com/loktar00/llm-lan-party,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
lomeshdutta/skill-router,https://github.com/lomeshdutta/skill-router,7,"[""JohnDotOwl/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
lonelyfellas/jev-codex-cua,https://github.com/lonelyfellas/jev-codex-cua,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
lookfwd/jev-fact-checker,https://github.com/lookfwd/jev-fact-checker,1,"[""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
loongwoong/jev-zen,https://github.com/loongwoong/jev-zen,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
lorensation/llm-cost-optimizer-jev,https://github.com/lorensation/llm-cost-optimizer-jev,2,"[""mabodx/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
lotwt/uno-jev,https://github.com/lotwt/uno-jev,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
louispaulet/jev-playground,https://github.com/louispaulet/jev-playground,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
loule95450/jev-free-router,https://github.com/loule95450/jev-free-router,2,"[""stainlu/awesome-jev"", ""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
lowspecbot-gh/latency-probe,https://github.com/lowspecbot-gh/latency-probe,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
lu-zero/systemone,https://github.com/lu-zero/systemone,2,"[""thevibeworks/awesome-typesafe-jev"", ""walidboulanouar/awesome-jev-use-cases""]",unverified_outgoing_link_candidate
luanewb/jevai,https://github.com/luanewb/jevai,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
luantak/is-malicious,https://github.com/luantak/is-malicious,18,"[""AbdelStark/awesome-typesafe-jev"", ""Anil-matcha/awesome-jev-by-typesafe"", ""AppitStudio/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""cobanov/awesome-jev"", ""ham-zax/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""jqueryscript/awesome-jev"", ""logicrw/awesome-jev-projects"", ""oxwen11/awesome-jev"", ""sontakey/awesome-jev"", ""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev"", ""v-modal/awesome-jev-tools"", ""valentynkit/awesome-jev-typesafe"", ""yibie/awesome-jev""]",unverified_outgoing_link_candidate
lucasfth/config,https://github.com/lucasfth/config,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
lucasjinreal/crane,https://github.com/lucasjinreal/crane,1,"[""Omrigotlieb/awesome-jev""]",unverified_outgoing_link_candidate
lucasmartins-ai/lcc,https://github.com/lucasmartins-ai/lcc,3,"[""Omrigotlieb/awesome-jev"", ""rhc98/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
lucianfialho/jev-model-router,https://github.com/lucianfialho/jev-model-router,5,"[""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""hellogumbo/awesome-jev"", ""logicrw/awesome-jev-projects"", ""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
